Time_ps	P1_Polar	P2_Nematic
7570.00	0.442101	0.644461
7580.00	0.441542	0.646093
7590.00	0.441234	0.644047
7600.00	0.440845	0.644386
7610.00	0.441232	0.641221
7620.00	0.440597	0.638370
7630.00	0.440663	0.642367
7640.00	0.439659	0.643377
7650.00	0.440876	0.640631
7660.00	0.441787	0.642916
7670.00	0.440757	0.644578
7680.00	0.442709	0.645504
7690.00	0.441244	0.643034
7700.00	0.442570	0.643199
7710.00	0.443214	0.641800
7720.00	0.441524	0.639702
7730.00	0.443280	0.639367
7740.00	0.440024	0.638491
7750.00	0.440000	0.639791
7760.00	0.438924	0.638453
7770.00	0.440520	0.640373
7780.00	0.439995	0.637779
7790.00	0.440556	0.636007
7800.00	0.441704	0.641618
7810.00	0.444612	0.644473
7820.00	0.441647	0.635456
7830.00	0.444515	0.644092
7840.00	0.442446	0.637430
7850.00	0.442068	0.639552
7860.00	0.441915	0.640332
7870.00	0.444151	0.641358
7880.00	0.444540	0.644866
7890.00	0.442402	0.643115
7900.00	0.443191	0.644982
7910.00	0.444040	0.641576
7920.00	0.440431	0.645042
7930.00	0.441218	0.640386
7940.00	0.442284	0.641747
7950.00	0.440236	0.642225
7960.00	0.439184	0.635759
7970.00	0.443716	0.646199
7980.00	0.440201	0.637554
7990.00	0.442886	0.643687
8000.00	0.442594	0.639874
8010.00	0.442066	0.642677
8020.00	0.442309	0.637733
8030.00	0.441148	0.637346
8040.00	0.442641	0.643394
8050.00	0.443173	0.636059
8060.00	0.442535	0.642682
8070.00	0.443180	0.635921
8080.00	0.441349	0.646166
8090.00	0.442383	0.636938
8100.00	0.442916	0.642115
8110.00	0.443086	0.640804
8120.00	0.442581	0.645965
8130.00	0.442809	0.640825
8140.00	0.444880	0.642686
8150.00	0.442855	0.646539
8160.00	0.443620	0.643566
8170.00	0.442339	0.645362
8180.00	0.442654	0.645351
8190.00	0.445799	0.651895
8200.00	0.442732	0.651435
8210.00	0.443032	0.642279
8220.00	0.442623	0.638330
8230.00	0.441818	0.639928
