Time_ps	P1_Polar	P2_Nematic
5540.00	0.445448	0.678091
5550.00	0.448359	0.679930
5560.00	0.446460	0.676175
5570.00	0.448868	0.679263
5580.00	0.448569	0.682164
5590.00	0.444546	0.674059
5600.00	0.444758	0.676600
5610.00	0.446260	0.674925
5620.00	0.444450	0.676235
5630.00	0.447406	0.683155
5640.00	0.448156	0.689221
5650.00	0.447213	0.682283
5660.00	0.446165	0.682211
5670.00	0.444033	0.679866
5680.00	0.447948	0.682394
5690.00	0.447474	0.677428
5700.00	0.448984	0.682304
5710.00	0.444756	0.678864
5720.00	0.450632	0.685478
5730.00	0.446050	0.680129
5740.00	0.445606	0.680798
5750.00	0.444241	0.676725
5760.00	0.444569	0.680307
5770.00	0.443682	0.680819
5780.00	0.444995	0.674085
5790.00	0.445695	0.677638
5800.00	0.447228	0.685594
5810.00	0.443635	0.677619
5820.00	0.446765	0.683846
5830.00	0.444870	0.675788
5840.00	0.447664	0.682612
5850.00	0.447048	0.674741
5860.00	0.444211	0.676192
5870.00	0.446756	0.679883
5880.00	0.448539	0.686753
5890.00	0.447693	0.677902
5900.00	0.446892	0.676266
5910.00	0.445584	0.675271
5920.00	0.444938	0.670558
5930.00	0.443731	0.670447
5940.00	0.446244	0.675384
5950.00	0.442866	0.667361
5960.00	0.446796	0.676536
5970.00	0.443282	0.671364
5980.00	0.445683	0.677174
5990.00	0.446283	0.678594
6000.00	0.444678	0.681082
6010.00	0.444571	0.679112
6020.00	0.446169	0.681110
6030.00	0.446203	0.682346
6040.00	0.442897	0.675384
6050.00	0.444243	0.677973
6060.00	0.444707	0.676168
6070.00	0.443922	0.673261
6080.00	0.446359	0.677782
6090.00	0.444231	0.670159
6100.00	0.444263	0.674291
6110.00	0.444670	0.679855
6120.00	0.445843	0.671747
6130.00	0.446783	0.677993
6140.00	0.447349	0.679968
6150.00	0.444980	0.672365
6160.00	0.445498	0.675300
6170.00	0.446261	0.678135
6180.00	0.443636	0.670117
6190.00	0.446478	0.674227
6200.00	0.446254	0.676187
6210.00	0.446155	0.679645
6220.00	0.447300	0.677075
6230.00	0.444904	0.677684
6240.00	0.447080	0.676588
6250.00	0.447498	0.677320
6260.00	0.449501	0.680107
6270.00	0.445984	0.671550
6280.00	0.448690	0.678306
6290.00	0.445499	0.675447
6300.00	0.446206	0.680247
6310.00	0.445632	0.674938
6320.00	0.448587	0.673700
6330.00	0.446938	0.671436
6340.00	0.448461	0.677043
6350.00	0.447003	0.673968
6360.00	0.450608	0.675616
6370.00	0.448479	0.672187
6380.00	0.447863	0.673976
6390.00	0.447752	0.673685
6400.00	0.448381	0.678253
6410.00	0.449373	0.679758
6420.00	0.450126	0.683697
6430.00	0.447131	0.672185
6440.00	0.447881	0.676248
6450.00	0.446555	0.680906
6460.00	0.445800	0.678572
6470.00	0.446625	0.673393
6480.00	0.450012	0.679920
6490.00	0.448880	0.680788
6500.00	0.447451	0.679271
6510.00	0.449372	0.678061
6520.00	0.447084	0.675755
6530.00	0.445619	0.676024
6540.00	0.446157	0.680342
6550.00	0.447122	0.679388
6560.00	0.448467	0.683868
6570.00	0.447662	0.673637
6580.00	0.444431	0.677662
6590.00	0.445115	0.680401
6600.00	0.446815	0.675761
6610.00	0.446441	0.677231
6620.00	0.446442	0.670849
6630.00	0.445107	0.676562
6640.00	0.444704	0.671999
6650.00	0.447450	0.679622
6660.00	0.446791	0.676801
6670.00	0.445921	0.671919
6680.00	0.446933	0.682288
6690.00	0.444900	0.677083
6700.00	0.445097	0.673963
6710.00	0.443069	0.672027
6720.00	0.443829	0.669485
6730.00	0.445016	0.676278
6740.00	0.445168	0.673489
6750.00	0.446837	0.671608
6760.00	0.444051	0.667523
6770.00	0.443442	0.666557
6780.00	0.440836	0.668949
6790.00	0.443470	0.674847
6800.00	0.444762	0.671741
6810.00	0.444838	0.668782
6820.00	0.443342	0.668599
6830.00	0.442708	0.672938
6840.00	0.444314	0.670294
6850.00	0.445069	0.678132
6860.00	0.443626	0.668099
6870.00	0.445408	0.669426
6880.00	0.439820	0.668662
6890.00	0.444314	0.676350
6900.00	0.442707	0.673179
6910.00	0.446281	0.671424
6920.00	0.445037	0.668427
6930.00	0.443004	0.671876
6940.00	0.444368	0.671463
6950.00	0.444214	0.673582
6960.00	0.442634	0.668822
6970.00	0.442970	0.667937
6980.00	0.446073	0.678193
6990.00	0.446924	0.675018
7000.00	0.445469	0.677524
7010.00	0.447057	0.672649
7020.00	0.446717	0.674768
7030.00	0.444702	0.668772
7040.00	0.442955	0.671793
